ID,Title,Runtime,Rating,Votes,MPAA,ReleaseDate,Year,Month,Day,Budget,Opening Weekend,Cumulative Gross,IsDc,IsMarvel,Cast1,Cast2,Cast3,Cast4,Cast5,Director1,Director2,Director3,Director4,Director5,Producer1,Producer2,Producer3,Producer4,Producer5,Company1,Company2,Company3,Company4,Company5
398744,Dark Justice,11,5.9,134,,12/31/2003 0:00,2003,12,31,,,,,,Tanoai Reed,Kim Hunt,Kim Weber,Sean Schoenke,Tyler Rollins,Aaron Schoenke,,,,,Sean Schoenke,,,,,Bat in the Sun Productions,,,,
387072,The Bionic Boy,95,5.1,47,,9/29/1977 0:00,1977,9,29,,,,,,Johnson Yap,Joe Sison,Chito Guerrero,Danny Rojo,David McCoy,Leody M. Diaz,,,,,Steve Nicholson,Bobby A. Suarez,,,,BAS Film Productions Inc.,Panorama Film A/S,,,
839976,Santos,97,2.2,329,,9/20/2008 0:00,2008,9,20,6000000,,,,,Javier Gutiérrez,Elsa Pataky,Leonardo Sbaraglia,Guillermo Toledo,Nicolás Martínez,Nicolás López,,,,,Miguel Asensio Llamas,Elizabeth Avellan,Eduardo Campoy,Mailo Darriba,José Manuel Lorenzo,Drive Cine,Aldea Films,Sobras.com Producciones,Buena Vista International,Estudios Picasso
62319,Superargo contro Diabolikus,88,6,183,G,12/15/1966 0:00,1966,12,15,,,,,,Giovanni Cianfriglia,Gérard Tichy,Loredana Nusciak,Mónica Randall,Josep Castillo Escalona,Nick Nostro,,,,,Nino Battiferri,Ottavio Poggi,,,,Liber Film,Società Europea Cinematografica,Producciones Cinematográficas Balcazar,,
416492,The Year of the Tick,87,5.9,356,,8/20/2004 0:00,2004,8,20,,,,,,Félix Gómez,Javier Veiga,Verónica Sánchez,María Vázquez,Víctor Clavijo,Jorge Coira,,,,,José de Cora,Antón Reixa,,,,Filmanova,LugoPress,Filmanova Invest,Televisión de Galicia (TVG) S.A.,
2061604,Casey Jones,35,6.5,364,PG-13::(self-applied),9/18/2011 0:00,2011,9,18,20000,,,,,Hilarion Banks,Robbie Rist,Moira Wilson,Brian Villalobos,Polaris Banks,Polaris Banks,,,,,Deborah Banks,Hilarion Banks,Polaris Banks,Robert Banks,Alex Luprete,Guiding Star Productions,,,,
471414,Ultraman: The Next,97,6.2,320,,12/18/2004 0:00,2004,12,18,,,,,,Tetsuya Bessho,Kyôko Tôyama,Ken'ya Ohsumi,Nae,Ryohei Hirota,Kazuya Konaka,,,,,Kiyoshi Suzuki,,,,,Tsuburaya Productions,,,,
347726,Ang pagbabalik ni Pedro Penduko,111,6.8,13,,12/25/1994 0:00,1994,12,25,,,,,,Janno Gibbs,Chiquito,Leo Martinez,Robert Miller,Vina Morales,J. Erastheo Navoa,,,,,Vic del Rosario Jr.,,,,,Viva Films,,,,
381631,Super Ranger Kids,95,4.8,14,,9/29/1997 0:00,1997,9,29,,,,,,Rodney Shattara,Thou Reyes,Paul Burns,Sara Polverini,Thea Tupaz,Rogelio Salvador,,,,,Abet L. Buencamino,Lily Y. Monteverde,Ronald Stephen Monteverde,,,Regal Films,,,,
258123,Santo & Blue Demon vs. Doctor Frankenstein,95,6.1,165,,10/31/1974 0:00,1974,10,31,,,,,,Santo,Blue Demon,Sasha Montenegro,Jorge Russek,Ivonne Govea,Miguel M. Delgado,,,,,Guillermo Calderón,,,,,Cinematográfica Calderón S.A.,,,,
117787,Superior Duck,5,6.1,200,G,8/23/1996 0:00,1996,8,23,,,,,,Frank Gorshin,Thurl Ravenscroft,Eric Goldberg,Jim Cummings,Paul Julian,Chuck Jones,,,,,Linda Jones Clough,Stephen Fossatti,Chuck Jones,,,Chuck Jones Film Productions,Warner Bros.,,,
430591,Sheman: Mistress of the Universe,,6.4,14,,9/7/1988 0:00,1988,9,7,,,,,,Joey de Leon,Panchito,Ruffa Gutierrez,Dennis da Silva,Eric Cayetano,Tony Y. Reyes,,,,,Joey de Leon,Vic del Rosario Jr.,Tony Fajardo,,,Viva Films,,,,
2210717,Super Hero War: Kamen Rider vs. Super Sentai,89,6.9,129,,4/21/2012 0:00,2012,4,21,,,,,,Masahiro Inoue,Kimito Totani,Tatsuhito Okuda,Shu Watanabe,Riho Takada,Osamu Kaneda,,,,,Akihiro Fukada,Kazuki Hikida,Naoya Kinoshita,Kengo Motoi,Akira Onodera,Ishinomori Productions,Toei Television Production,Toei Tokyo Movie Studios,,
61676,Flashman,96,5.2,84,,4/8/1967 0:00,1967,4,8,,,,,,Paolo Gozlino,Claudie Lange,Ivano Staccioli,Jack Ary,Micaela Pignatelli,Mino Loy,,,,,Mino Loy,Luciano Martino,,,,Zenith Cinematografica,,,,
2084868,Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO,95,6.8,120,,12/10/2011 0:00,2011,12,10,,,,,,Tetsu Inada,Takahiro Fujimoto,Hirofumi Tanaka,Takayuki Masuda,Isshin Chiba,Koichi Sakamoto,,,,,Kengo Motoi,Kazuhiro Takahashi,Naomi Takebe,Hideaki Tsukada,,ADK,Ishinomori Productions,TV Asahi,Toei Company,
2073154,Quest for Zhu,72,4.4,156,G,9/27/2011 0:00,2011,9,27,,,,,,Mariah Wilkerson,Shannon Chan-Kent,Ian James Corlett,Sean Campbell,Erin Mathews,Bob Doucette,,,,,Nicolas Atlan,Gurucharan Kirtiwar,Laura Kurzu,Prashant Shitole,,Cepia,Moonscoop,Prana Studios,,
377463,Batang Z,,5.7,15,,1/4/1996 0:00,1996,1,4,,,,,,Tom Taus,Jorge Estregan,Melissa Mendez,Berting Labra,Daniel Pasia,Bey Vito,,,,,Joey Gosiengfiao,Pong Mercado,Sherida Monteverde,Douglas Quijano,,MAQ Productions,,,,
90201,Süpermenler,87,3.7,196,,9/29/1979 0:00,1979,9,29,,,,,,Cüneyt Arkin,Ünsal Emre,Aldo Canti,Güngör Bayrak,Sal Borgese,Italo Martinenghi,,,,,Türker Inanoglu,Franco Ortenzi,Aldo Sambrell,,,Asbrell Productions,Barbatoja Film,Cinesecolo,Erler Film,
191280,Mighty Mouse in the Great Space Chase,86,6,105,TV-G,12/10/1982 0:00,1982,12,10,,,,,,Alan Oppenheimer,Diane Pershing,,,,Ed Friedman,Lou Kachivas,Marsh Lamore,Gwen Wetzler,Kay Wright,Don Christensen,Norm Prescott,Lou Scheimer,,,Filmation Associates,Viacom Productions,,,
261597,The Champions of Justice,80,5.9,129,,1/21/1971 0:00,1971,1,21,,,,,,Blue Demon,Mil Máscaras,El Médico Asesino,Alejandro Cruz,Tinieblas,Federico Curiel,,,,,Rogelio Agrasánchez,,,,,Cinematográfica Grovas,Producciones Fílmicas Agrasánchez S.A.,,,
361763,James Batman,,5,64,,9/18/1966 0:00,1966,9,18,,,,,,Dolphy,Shirley Moreno,Boy Alano,Bella Flores,Nori Dalisay,Artemio Marquez,,,,,Dolores H. Vera,,,,,Sampaguita Pictures,,,,
451644,Batang-X,,6,27,,6/30/1995 0:00,1995,6,30,,,,,,Aiko Melendez,Michael De Mesa,Janus del Prado,John Prats,Anna Larrucea,Peque Gallaga,Lore Reyes,,,,Kenneth Paul De Leon,Madeleine Gallaga,Lily Y. Monteverde,Roselle Y. Monteverde,June Torrejon-Rufino,Regal Films,,,,
831855,The Green Hornet,10,7,102,,6/8/2006 0:00,2006,6,8,1500,,,,,Emmanuel Lanzi,Patrick Vo,Michaël Troude,Alain Figlarz,David Doukhan,Aurélien Poitrimoult,,,,,Emmanuel Lanzi,Aurélien Poitrimoult,,,,Apel Prod,,,,
66908,Supermen,90,5.1,48,,2/27/1970 0:00,1970,2,27,,,,,,George Martin,Sal Borgese,Brad Harris,Femi Benussi,Pasquale Simeoni,Bitto Albertini,,,,,Graziano Fabiani,Italo Martinenghi,,,,Cinesecolo,Pan Latina Films,,,
60706,Avenger X,90,4.6,49,,5/13/1967 0:00,1967,5,13,,,,,,Pier Paolo Capponi,Gaia Germani,Armando Calvo,Anna Zinnemann,Umberto Raho,Piero Vivarelli,,,,,Giancarlo Marchetti,Claudio Teramo,,,,"Copercines, Cooperativa Cinematográfica",Terra Film,,,
1820402,Bomb Squad,83,3.7,150,Not Rated,2/25/2011 0:00,2011,2,25,12000,,,,,Craig Beeman,Andrew Chamberlin,Bob Diven,Joe Duerksen,Dave Edwards,Nick Chamberlin,,,,,Holly Chamberlin,Nick Chamberlin,Matthew Dawkins,Dustin Richardson,,Desert Storm Productions,,,,
34466,The Arctic Giant,9,6.9,675,Not Rated::(DVD Rating),2/26/1942 0:00,1942,2,26,,,,,,Joan Alexander,Jackson Beck,Bud Collyer,Julian Noa,,Dave Fleischer,Willard Bowsky,,,,Max Fleischer,,,,,Fleischer Studios,,,,
178516,Goliath and the Rebel Slave,105,5.9,93,Approved,9/5/1963 0:00,1963,9,5,,,,,,Gordon Scott,Ombretta Colli,Gloria Milland,Mimmo Palmara,Giuseppe Fortis,Mario Caiano,,,,,Giorgio Agliani,,,,,Compagnia Internazionale Realizzazioni Artistiche Cinematografiche,Films Internazionali Artistici,Les Productions Georges de Beauregard,,
63756,The Vampires,91,4.4,37,,6/13/1969 0:00,1969,6,13,,,,,,John Carradine,María Duval,Pedro Armendáriz Jr.,Mil Máscaras,Marta Romero,Federico Curiel,,,,,Jesús Fragoso Montoya,Luis Enrique Vergara,,,,Filmica Vergara S.A.,,,,
4770784,The Indestructible Spider-Man,,6.7,7,,7/12/2016 0:00,2016,7,12,,,,,,Gwen Aterey,Vaughn Eeastwood,Riley Ferguson,Emily Morehu,Jackson Morehu,Jackson Morehu,,,,,Skyrow Ent,Reece Morehu,,,,Radical Films,,,,
164409,Biokids,92,6.7,22,,4/3/1990 0:00,1990,4,3,,,,,,Jon Achaval,Ai-Ai de las Alas,Jennifer Francisco,Philip Gamboa,Katrin Gonzales,Bebong Osorio,,,,,Amang Buencamino,Tony Gloria,,,,Filmstar Productions,,,,
121802,Thank You Mask Man,8,6.3,313,,9/28/1971 0:00,1971,9,28,,,,,,Lenny Bruce,,,,,Lenny Bruce,John Magnuson,,,,John Magnuson,Jeff Hale,,,,Columbus Productions,Imagination,John Magnuson Associates,,
877717,Super Noypi,112,5.7,56,,12/25/2006 0:00,2006,12,25,,,,,,Jennylyn Mercado,Mark Herras,John Prats,Polo Ravales,Sandara Park,Quark Henares,,,,,Lily Y. Monteverde,Roselle Y. Monteverde,Fairlane Raymundo,Manny Valera,,Regal Films,Regal Multimedia,,,
